 Set =  1    X = 1       Z = 0          log g = 14.0  T_Edd= 1.644 keV  R =  14.80 km  z= 0.18
     0.003     0.398     1.740     1.724     1.750     1.130     1.176     0.273     0.277     0.270
     0.010     0.538     1.448     1.431     1.459     1.156     1.240     0.638     0.648     0.631
     0.030     0.709     1.368     1.365     1.366     1.266     1.203     0.890     0.891     0.891
     0.050     0.805     1.347     1.361     1.336     1.326     1.129     0.958     0.956     0.962
     0.070     0.876     1.328     1.352     1.310     1.326     1.264     0.989     0.988     0.993
     0.100     0.957     1.310     1.340     1.290     1.309     1.257     1.000     1.003     1.004
     0.150     1.060     1.317     1.342     1.300     1.322     1.317     0.986     0.992     0.987
     0.200     1.139     1.341     1.356     1.331     1.354     1.348     0.975     0.979     0.974
     0.300     1.260     1.392     1.395     1.390     1.405     1.412     0.979     0.981     0.979
     0.400     1.354     1.428     1.423     1.428     1.446     1.447     0.973     0.971     0.973
     0.500     1.432     1.457     1.451     1.457     1.473     1.478     0.976     0.973     0.976
     0.600     1.498     1.484     1.480     1.483     1.497     1.508     0.982     0.979     0.981
     0.700     1.557     1.516     1.513     1.513     1.525     1.542     0.987     0.985     0.986
     0.750     1.584     1.535     1.534     1.532     1.543     1.561     0.989     0.988     0.988
     0.800     1.610     1.555     1.556     1.552     1.562     1.582     0.990     0.991     0.990
     0.850     1.635     1.588     1.592     1.583     1.595     1.613     0.990     0.992     0.989
     0.900     1.658     1.635     1.643     1.629     1.634     1.658     1.001     1.006     1.000
     0.950     1.681     1.700     1.716     1.692     1.699     1.720     1.002     1.011     1.000
     0.980     1.694     1.750     1.769     1.741     1.731     1.767     1.024     1.036     1.022
 Set =  5    X = 0.7374  Z = Z_sun      log g = 14.3  T_Edd= 2.024 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.360     2.001     1.973     2.015     1.265     1.298     0.208     0.214     0.205
     0.003     0.474     1.651     1.622     1.667     1.204     1.272     0.445     0.459     0.438
     0.010     0.640     1.427     1.409     1.433     1.221     1.073     0.771     0.781     0.767
     0.030     0.842     1.329     1.347     1.314     1.305     1.081     0.964     0.959     0.971
     0.050     0.957     1.287     1.319     1.265     1.289     1.231     1.004     1.002     1.012
     0.070     1.041     1.269     1.304     1.248     1.270     1.269     1.006     1.006     1.010
     0.100     1.138     1.277     1.305     1.261     1.280     1.283     0.986     0.990     0.987
     0.150     1.259     1.313     1.326     1.306     1.328     1.323     0.966     0.970     0.965
     0.200     1.353     1.351     1.353     1.351     1.365     1.368     0.976     0.976     0.976
     0.300     1.498     1.400     1.393     1.404     1.413     1.418     0.980     0.976     0.981
     0.400     1.609     1.428     1.419     1.429     1.444     1.447     0.976     0.971     0.977
     0.500     1.702     1.452     1.445     1.451     1.465     1.477     0.981     0.977     0.980
     0.600     1.781     1.477     1.472     1.475     1.487     1.506     0.986     0.983     0.985
     0.700     1.851     1.507     1.505     1.505     1.518     1.537     0.985     0.983     0.984
     0.750     1.883     1.529     1.528     1.526     1.536     1.558     0.991     0.990     0.990
     0.800     1.914     1.556     1.556     1.552     1.561     1.582     0.992     0.992     0.991
     0.850     1.943     1.586     1.591     1.582     1.589     1.612     0.996     0.999     0.995
     0.900     1.971     1.629     1.638     1.622     1.629     1.649     1.000     1.005     0.998
     0.950     1.998     1.692     1.710     1.683     1.691     1.707     1.001     1.013     0.999
     0.980     2.013     1.750     1.774     1.740     1.729     1.762     1.026     1.041     1.023
 Set =  6    X = 0.7374  Z = Z_sun      log g = 14.6  T_Edd= 2.405 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.428     1.946     1.932     1.951     1.357     1.101     0.327     0.332     0.325
     0.003     0.563     1.636     1.627     1.634     1.281     1.203     0.572     0.577     0.573
     0.010     0.761     1.397     1.412     1.384     1.284     1.172     0.871     0.862     0.880
     0.030     1.001     1.248     1.289     1.225     1.264     1.187     1.027     1.014     1.041
     0.050     1.137     1.223     1.260     1.202     1.227     1.250     1.014     1.010     1.024
     0.070     1.237     1.239     1.266     1.226     1.238     1.250     0.985     0.987     0.988
     0.100     1.352     1.275     1.288     1.272     1.291     1.289     0.961     0.963     0.961
     0.150     1.497     1.328     1.325     1.333     1.354     1.331     0.953     0.952     0.953
     0.200     1.608     1.363     1.353     1.369     1.388     1.368     0.959     0.955     0.960
     0.300     1.780     1.404     1.395     1.407     1.416     1.418     0.982     0.977     0.982
     0.400     1.913     1.424     1.418     1.424     1.436     1.447     0.982     0.978     0.982
     0.500     2.022     1.444     1.441     1.443     1.455     1.475     0.985     0.982     0.984
     0.600     2.117     1.470     1.468     1.468     1.478     1.500     0.988     0.987     0.988
     0.700     2.200     1.504     1.503     1.501     1.511     1.531     0.990     0.990     0.990
     0.750     2.238     1.526     1.528     1.522     1.529     1.552     0.996     0.996     0.995
     0.800     2.275     1.557     1.560     1.553     1.553     1.579     1.005     1.007     1.004
     0.850     2.309     1.584     1.591     1.579     1.587     1.603     0.996     1.000     0.995
     0.900     2.342     1.629     1.641     1.622     1.628     1.646     1.002     1.009     1.000
     0.950     2.374     1.699     1.722     1.689     1.692     1.710     1.009     1.023     1.006
     0.980     2.393     1.770     1.806     1.756     1.758     1.775     1.014     1.037     1.010
 Set =  7    X = 0.7374  Z = 0.3 Z_sun  log g = 14.0  T_Edd= 1.703 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.303     2.024     2.019     2.028     1.351     0.980     0.224     0.226     0.223
     0.003     0.398     1.742     1.731     1.749     1.271     1.180     0.426     0.431     0.423
     0.010     0.538     1.541     1.527     1.547     1.269     1.241     0.715     0.722     0.711
     0.030     0.709     1.441     1.444     1.435     1.362     1.232     0.910     0.909     0.912
     0.050     0.805     1.402     1.415     1.390     1.386     1.297     0.960     0.958     0.964
     0.070     0.876     1.378     1.397     1.363     1.376     1.303     0.976     0.977     0.979
     0.100     0.957     1.362     1.383     1.347     1.365     1.311     0.978     0.981     0.980
     0.150     1.060     1.370     1.384     1.359     1.379     1.362     0.975     0.979     0.975
     0.200     1.139     1.386     1.393     1.381     1.407     1.387     0.963     0.965     0.962
     0.300     1.260     1.426     1.424     1.425     1.440     1.441     0.978     0.977     0.978
     0.400     1.354     1.449     1.444     1.448     1.464     1.467     0.975     0.973     0.975
     0.500     1.432     1.470     1.464     1.469     1.486     1.490     0.977     0.974     0.977
     0.600     1.498     1.494     1.489     1.493     1.507     1.517     0.982     0.979     0.981
     0.700     1.557     1.522     1.519     1.520     1.537     1.546     0.979     0.977     0.979
     0.750     1.584     1.546     1.544     1.544     1.554     1.570     0.989     0.988     0.989
     0.800     1.610     1.571     1.570     1.568     1.579     1.594     0.989     0.988     0.988
     0.850     1.635     1.605     1.607     1.601     1.609     1.627     0.994     0.995     0.993
     0.900     1.658     1.647     1.655     1.642     1.650     1.668     0.996     1.001     0.995
     0.950     1.681     1.720     1.737     1.711     1.716     1.737     1.004     1.014     1.002
     0.980     1.694     1.785     1.817     1.772     1.797     1.799     0.986     1.004     0.983
 Set =  8    X = 0.7374  Z = 0.3 Z_sun  log g = 14.3  T_Edd= 2.024 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.360     1.925     1.909     1.933     1.406     1.298     0.364     0.371     0.360
     0.003     0.474     1.685     1.669     1.692     1.329     1.269     0.578     0.587     0.574
     0.010     0.640     1.505     1.501     1.504     1.326     1.087     0.823     0.825     0.823
     0.030     0.842     1.386     1.404     1.373     1.364     1.281     0.963     0.960     0.968
     0.050     0.957     1.344     1.368     1.329     1.340     1.252     0.982     0.982     0.986
     0.070     1.041     1.330     1.352     1.317     1.332     1.304     0.977     0.980     0.980
     0.100     1.138     1.337     1.352     1.328     1.348     1.322     0.967     0.970     0.967
     0.150     1.259     1.364     1.368     1.363     1.386     1.364     0.959     0.960     0.959
     0.200     1.353     1.392     1.389     1.393     1.410     1.399     0.972     0.970     0.972
     0.300     1.498     1.420     1.413     1.422     1.438     1.434     0.973     0.969     0.973
     0.400     1.609     1.440     1.433     1.441     1.456     1.459     0.978     0.973     0.977
     0.500     1.702     1.460     1.453     1.460     1.473     1.484     0.981     0.977     0.981
     0.600     1.781     1.485     1.479     1.484     1.496     1.510     0.984     0.980     0.984
     0.700     1.851     1.520     1.515     1.518     1.524     1.545     0.989     0.986     0.989
     0.750     1.883     1.537     1.535     1.535     1.546     1.562     0.988     0.986     0.987
     0.800     1.914     1.564     1.563     1.561     1.571     1.587     0.991     0.991     0.990
     0.850     1.943     1.598     1.602     1.594     1.603     1.620     0.994     0.996     0.993
     0.900     1.971     1.645     1.655     1.639     1.645     1.664     1.001     1.007     0.999
     0.950     1.998     1.718     1.739     1.709     1.712     1.732     1.008     1.020     1.005
     0.980     2.013     1.776     1.800     1.765     1.746     1.786     1.036     1.052     1.033
 Set =  9    X = 0.7374  Z = 0.3 Z_sun  log g = 14.6  T_Edd= 2.405 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.428     1.882     1.876     1.883     1.476     1.106     0.486     0.489     0.485
     0.003     0.563     1.651     1.652     1.647     1.391     1.206     0.694     0.693     0.697
     0.010     0.761     1.449     1.467     1.436     1.366     1.178     0.910     0.900     0.919
     0.030     1.001     1.317     1.344     1.302     1.312     1.209     0.992     0.986     0.998
     0.050     1.137     1.298     1.319     1.288     1.294     1.285     0.977     0.976     0.980
     0.070     1.237     1.310     1.323     1.306     1.315     1.301     0.961     0.963     0.962
     0.100     1.352     1.338     1.341     1.340     1.358     1.332     0.954     0.954     0.954
     0.150     1.497     1.372     1.366     1.376     1.398     1.370     0.956     0.954     0.956
     0.200     1.608     1.394     1.386     1.397     1.415     1.398     0.968     0.964     0.968
     0.300     1.780     1.415     1.409     1.416     1.430     1.430     0.978     0.975     0.978
     0.400     1.913     1.431     1.424     1.430     1.446     1.451     0.978     0.975     0.978
     0.500     2.022     1.456     1.450     1.455     1.460     1.481     0.994     0.990     0.993
     0.600     2.117     1.475     1.471     1.474     1.489     1.501     0.981     0.978     0.981
     0.700     2.200     1.514     1.511     1.513     1.523     1.537     0.988     0.986     0.987
     0.750     2.238     1.535     1.535     1.533     1.541     1.558     0.992     0.991     0.991
     0.800     2.275     1.566     1.567     1.562     1.568     1.586     0.996     0.997     0.995
     0.850     2.309     1.596     1.602     1.592     1.598     1.614     0.997     1.001     0.996
     0.900     2.342     1.641     1.654     1.633     1.639     1.657     1.002     1.011     1.000
     0.950     2.374     1.714     1.740     1.703     1.707     1.724     1.009     1.026     1.006
     0.980     2.393     1.808     1.851     1.792     1.790     1.811     1.021     1.048     1.017
 Set = 10    X = 0.7374  Z = 0.1 Z_sun  log g = 14.0  T_Edd= 1.703 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.303     1.975     1.969     1.979     1.504     1.360     0.387     0.390     0.386
     0.003     0.398     1.767     1.758     1.772     1.406     1.188     0.572     0.577     0.569
     0.010     0.538     1.604     1.597     1.606     1.378     1.255     0.788     0.791     0.787
     0.030     0.709     1.495     1.500     1.490     1.437     1.261     0.924     0.923     0.926
     0.050     0.805     1.452     1.462     1.445     1.442     1.341     0.956     0.956     0.958
     0.070     0.876     1.430     1.442     1.421     1.432     1.345     0.966     0.966     0.967
     0.100     0.957     1.414     1.426     1.406     1.424     1.376     0.967     0.969     0.968
     0.150     1.060     1.412     1.419     1.406     1.430     1.400     0.965     0.967     0.965
     0.200     1.139     1.421     1.424     1.418     1.441     1.422     0.966     0.967     0.965
     0.300     1.260     1.440     1.438     1.439     1.459     1.453     0.971     0.970     0.971
     0.400     1.354     1.457     1.452     1.456     1.474     1.474     0.975     0.972     0.975
     0.500     1.432     1.474     1.468     1.473     1.489     1.493     0.978     0.975     0.978
     0.600     1.498     1.497     1.492     1.496     1.510     1.519     0.982     0.979     0.981
     0.700     1.557     1.522     1.519     1.520     1.539     1.546     0.977     0.975     0.977
     0.750     1.584     1.551     1.548     1.550     1.558     1.574     0.990     0.988     0.990
     0.800     1.610     1.574     1.574     1.571     1.580     1.597     0.992     0.992     0.991
     0.850     1.635     1.608     1.610     1.604     1.613     1.629     0.992     0.993     0.991
     0.900     1.658     1.651     1.659     1.646     1.655     1.672     0.995     0.999     0.994
     0.950     1.681     1.730     1.748     1.721     1.724     1.746     1.006     1.017     1.004
     0.980     1.694     1.787     1.811     1.778     1.763     1.802     1.031     1.044     1.028
 Set = 11    X = 0.7374  Z = 0.1 Z_sun  log g = 14.3  T_Edd= 2.024 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.360     1.910     1.900     1.915     1.537     1.302     0.519     0.525     0.516
     0.003     0.474     1.719     1.711     1.722     1.445     1.283     0.693     0.698     0.691
     0.010     0.640     1.560     1.560     1.556     1.416     1.275     0.866     0.866     0.868
     0.030     0.842     1.444     1.456     1.435     1.424     1.314     0.956     0.955     0.959
     0.050     0.957     1.407     1.420     1.398     1.404     1.319     0.967     0.968     0.969
     0.070     1.041     1.393     1.404     1.386     1.400     1.354     0.966     0.967     0.966
     0.100     1.138     1.390     1.397     1.387     1.407     1.369     0.962     0.964     0.962
     0.150     1.259     1.402     1.402     1.401     1.424     1.399     0.962     0.962     0.962
     0.200     1.353     1.414     1.410     1.414     1.435     1.419     0.967     0.965     0.967
     0.300     1.498     1.430     1.424     1.430     1.448     1.444     0.973     0.970     0.973
     0.400     1.609     1.444     1.437     1.444     1.460     1.463     0.977     0.973     0.977
     0.500     1.702     1.463     1.455     1.462     1.476     1.485     0.981     0.976     0.981
     0.600     1.781     1.488     1.481     1.487     1.499     1.512     0.984     0.980     0.984
     0.700     1.851     1.522     1.517     1.521     1.532     1.546     0.987     0.983     0.987
     0.750     1.883     1.540     1.537     1.539     1.553     1.563     0.983     0.981     0.983
     0.800     1.914     1.569     1.569     1.566     1.574     1.592     0.994     0.994     0.993
     0.850     1.943     1.603     1.607     1.599     1.607     1.625     0.995     0.997     0.994
     0.900     1.971     1.649     1.659     1.643     1.650     1.667     0.999     1.005     0.997
     0.950     1.998     1.728     1.750     1.718     1.724     1.741     1.006     1.019     1.003
     0.980     2.013     1.789     1.816     1.778     1.758     1.799     1.038     1.055     1.035
 Set = 12    X = 0.7374  Z = 0.1 Z_sun  log g = 14.6  T_Edd= 2.405 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.428     1.868     1.866     1.868     1.581     1.377     0.623     0.625     0.623
     0.003     0.563     1.675     1.679     1.673     1.485     1.217     0.784     0.782     0.786
     0.010     0.761     1.503     1.517     1.495     1.431     1.193     0.925     0.919     0.930
     0.030     1.001     1.394     1.408     1.386     1.381     1.330     0.969     0.968     0.972
     0.050     1.137     1.373     1.383     1.369     1.374     1.331     0.964     0.964     0.964
     0.070     1.237     1.374     1.379     1.374     1.386     1.351     0.959     0.960     0.959
     0.100     1.352     1.385     1.384     1.386     1.405     1.373     0.959     0.959     0.959
     0.150     1.497     1.399     1.395     1.400     1.420     1.399     0.965     0.963     0.965
     0.200     1.608     1.408     1.403     1.409     1.427     1.414     0.972     0.970     0.972
     0.300     1.780     1.419     1.414     1.419     1.434     1.435     0.977     0.975     0.977
     0.400     1.913     1.433     1.427     1.433     1.448     1.453     0.980     0.976     0.979
     0.500     2.022     1.454     1.448     1.453     1.466     1.477     0.983     0.979     0.983
     0.600     2.117     1.478     1.473     1.477     1.491     1.502     0.982     0.979     0.982
     0.700     2.200     1.516     1.513     1.515     1.524     1.539     0.988     0.986     0.988
     0.750     2.238     1.537     1.537     1.534     1.543     1.559     0.992     0.991     0.991
     0.800     2.275     1.567     1.569     1.564     1.569     1.588     0.997     0.998     0.996
     0.850     2.309     1.600     1.605     1.595     1.602     1.617     0.997     1.000     0.996
     0.900     2.342     1.646     1.659     1.639     1.647     1.662     0.999     1.007     0.997
     0.950     2.374     1.718     1.745     1.707     1.712     1.728     1.008     1.025     1.005
     0.980     2.393     1.795     1.839     1.778     1.798     1.798     0.997     1.024     0.992
 Set = 13    X = 0.7374  Z = 0.01 Z_sun log g = 14.0  T_Edd= 1.703 keV  R =  14.80 km  z= 0.18
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.303     1.949     1.945     1.951     1.713     1.521     0.668     0.672     0.666
     0.003     0.398     1.780     1.777     1.782     1.591     1.427     0.780     0.783     0.779
     0.010     0.538     1.644     1.642     1.644     1.512     1.305     0.880     0.881     0.880
     0.030     0.709     1.550     1.551     1.548     1.512     1.361     0.938     0.937     0.938
     0.050     0.805     1.515     1.517     1.512     1.512     1.398     0.953     0.953     0.954
     0.070     0.876     1.495     1.497     1.492     1.503     1.412     0.960     0.960     0.960
     0.100     0.957     1.477     1.480     1.474     1.492     1.438     0.965     0.966     0.965
     0.150     1.060     1.462     1.463     1.459     1.480     1.449     0.969     0.969     0.969
     0.200     1.139     1.456     1.456     1.453     1.474     1.456     0.971     0.971     0.971
     0.300     1.260     1.455     1.452     1.453     1.472     1.465     0.974     0.973     0.974
     0.400     1.354     1.462     1.458     1.460     1.478     1.479     0.977     0.974     0.976
     0.500     1.432     1.476     1.471     1.475     1.490     1.495     0.979     0.976     0.978
     0.600     1.498     1.497     1.492     1.496     1.511     1.520     0.981     0.978     0.981
     0.700     1.557     1.529     1.524     1.528     1.542     1.552     0.982     0.979     0.982
     0.750     1.584     1.549     1.547     1.547     1.560     1.572     0.986     0.984     0.985
     0.800     1.610     1.575     1.574     1.573     1.586     1.597     0.986     0.985     0.986
     0.850     1.635     1.608     1.611     1.604     1.613     1.630     0.993     0.994     0.992
     0.900     1.658     1.654     1.661     1.649     1.659     1.674     0.994     0.998     0.993
     0.950     1.681     1.732     1.750     1.724     1.730     1.748     1.004     1.014     1.002
     0.980     1.694     1.803     1.836     1.789     1.815     1.814     0.986     1.006     0.983
 Set = 14    X = 0.7374  Z = 0.01 Z_sun log g = 14.3  T_Edd= 2.024 keV  R =  10.88 km  z= 0.27
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.360     1.900     1.896     1.902     1.700     1.520     0.733     0.737     0.731
     0.003     0.474     1.739     1.735     1.740     1.580     1.423     0.830     0.832     0.829
     0.010     0.640     1.606     1.606     1.606     1.509     1.348     0.909     0.909     0.909
     0.030     0.842     1.516     1.518     1.513     1.502     1.378     0.951     0.951     0.951
     0.050     0.957     1.483     1.485     1.481     1.491     1.406     0.961     0.961     0.961
     0.070     1.041     1.466     1.468     1.463     1.479     1.418     0.965     0.966     0.965
     0.100     1.138     1.451     1.452     1.449     1.468     1.429     0.968     0.968     0.968
     0.150     1.259     1.440     1.439     1.438     1.457     1.436     0.971     0.971     0.971
     0.200     1.353     1.435     1.433     1.434     1.453     1.441     0.974     0.973     0.973
     0.300     1.498     1.437     1.432     1.436     1.452     1.451     0.977     0.974     0.976
     0.400     1.609     1.446     1.440     1.446     1.462     1.465     0.978     0.974     0.978
     0.500     1.702     1.459     1.452     1.458     1.479     1.482     0.971     0.967     0.971
     0.600     1.781     1.494     1.486     1.493     1.498     1.517     0.994     0.990     0.994
     0.700     1.851     1.525     1.518     1.524     1.534     1.548     0.988     0.983     0.987
     0.750     1.883     1.546     1.542     1.545     1.555     1.568     0.988     0.985     0.988
     0.800     1.914     1.571     1.570     1.569     1.579     1.593     0.990     0.989     0.990
     0.850     1.943     1.604     1.607     1.600     1.609     1.624     0.993     0.995     0.992
     0.900     1.971     1.651     1.661     1.645     1.652     1.669     0.999     1.005     0.997
     0.950     1.998     1.728     1.749     1.718     1.721     1.741     1.008     1.021     1.006
     0.980     2.013     1.775     1.800     1.765     1.746     1.786     1.037     1.052     1.034
 Set = 15    X = 0.7374  Z = 0.01 Z_sun log g = 14.6  T_Edd= 2.405 keV  R =   8.16 km  z= 0.42
     L/L_Edd    T_eff    fc_1      fc_2      fc_3      fc_4      fc_5      w*fc_1    w*fc_2    w*fc_3 
     0.001     0.428     1.861     1.858     1.861     1.695     1.427     0.778     0.780     0.777
     0.003     0.563     1.702     1.702     1.701     1.576     1.427     0.864     0.864     0.864
     0.010     0.761     1.571     1.573     1.569     1.497     1.378     0.929     0.928     0.930
     0.030     1.001     1.485     1.488     1.482     1.476     1.387     0.959     0.959     0.959
     0.050     1.137     1.456     1.459     1.454     1.465     1.402     0.965     0.965     0.965
     0.070     1.237     1.442     1.443     1.440     1.455     1.412     0.968     0.968     0.968
     0.100     1.352     1.430     1.430     1.428     1.445     1.418     0.971     0.971     0.971
     0.150     1.497     1.421     1.420     1.419     1.437     1.422     0.974     0.974     0.974
     0.200     1.608     1.418     1.416     1.416     1.433     1.427     0.976     0.975     0.976
     0.300     1.780     1.421     1.417     1.420     1.436     1.438     0.978     0.976     0.978
     0.400     1.913     1.434     1.429     1.434     1.448     1.454     0.980     0.976     0.980
     0.500     2.022     1.455     1.448     1.455     1.467     1.477     0.983     0.979     0.983
     0.600     2.117     1.484     1.478     1.484     1.493     1.507     0.988     0.983     0.988
     0.700     2.200     1.518     1.514     1.516     1.526     1.540     0.989     0.987     0.989
